Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suite MOZ-11020,,,,20-10-2024 16:53:12,20-10-2024 16:54:11,59.641s,FAILED
,,,,,,,
Test Cases/MOZ-11020/TC 5_MOZ_11533 Verify linking after Refund Capture,,,,20-10-2024 16:53:13,20-10-2024 16:53:20,7.202s,FAILED
demoPackage.MozartLogin.LoginWithChromeForEK(),,,,20-10-2024 16:53:14,20-10-2024 16:53:20,6.148s,FAILED
,,,,,,,
Test Cases/MOZ-11020/TC 4_MOZ_11533 Verify linking after Json request,,,,20-10-2024 16:53:20,20-10-2024 16:53:39,19.566s,PASSED
uniqueNumber = utilityClass.GenericMethods.UniqueNumberGenerator(),,,,20-10-2024 16:53:20,20-10-2024 16:53:21,0.981s,PASSED
demoPackage.UtilityDemo.requestNumber(),,,,20-10-2024 16:53:21,20-10-2024 16:53:21,0.052s,PASSED
"apiRequests.apiConnection.runAuthToken(findTestObject(""API/Demo API/Auth Token""))",,,,20-10-2024 16:53:21,20-10-2024 16:53:28,6.110s,PASSED
"pnrWaiverResponse = sendRequest(findTestObject(""API/MOZ_11020_API/moz_11533_pnr_waiver_request""))",,,,20-10-2024 16:53:28,20-10-2024 16:53:28,0.906s,PASSED
"verifyResponseStatusCode(pnrWaiverResponse, 200)",,,,20-10-2024 16:53:28,20-10-2024 16:53:28,0.005s,PASSED
"fullRefundResponse = sendRequest(findTestObject(""API/MOZ_11020_API/moz_11533_full_refund-json""))",,,,20-10-2024 16:53:28,20-10-2024 16:53:29,0.817s,PASSED
"verifyResponseStatusCode(fullRefundResponse, 200)",,,,20-10-2024 16:53:29,20-10-2024 16:53:29,0.007s,PASSED
"mozartRequestId = getElementPropertyValue(fullRefundResponse, ""data[0].mozart_request_id"")",,,,20-10-2024 16:53:29,20-10-2024 16:53:29,0.145s,PASSED
"println(""The mozart_request_id is: "" + mozartRequestId)",,,,20-10-2024 16:53:29,20-10-2024 16:53:29,0.006s,PASSED
